CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HOOD,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
294693616,12/15/2016,0:45:00,12/15/2016,5:28:00,12/15/2016,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,BRONXDALE,1022040,240165,40.82580038,-73.86345589,"(40.825800379, -73.86345589)"
880747009,12/13/2016,20:00:00,12/13/2016,20:20:00,12/13/2016,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,BRONXDALE,1020068,240643,40.82712057,-73.8705787,"(40.827120568, -73.870578701)"
152158444,12/6/2016,17:00:00,12/6/2016,19:00:00,12/13/2016,109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,SOUNDVIEW,1021342,237277,40.8178766,-73.86599391,"(40.817876601, -73.865993913)"
197305079,12/11/2016,21:20:00,12/11/2016,21:25:00,12/11/2016,105,ROBBERY,383,"ROBBERY,DELIVERY PERSON",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,REAR OF,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1026999,237853,40.81943199,-73.84555244,"(40.819431994, -73.845552435)"
611439333,12/11/2016,10:00:00,12/11/2016,10:13:00,12/11/2016,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,45,INSIDE,RESIDENCE - PUBLIC HOUSING,,THROGGS NECK,1033577,239043,40.82266392,-73.82177792,"(40.822663919, -73.821777915)"
665571127,12/10/2016,3:30:00,,,12/10/2016,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,45,INSIDE,RESIDENCE - PUBLIC HOUSING,,THROGGS NECK,1032948,238316,40.820672,-73.82405583,"(40.820672004, -73.824055827)"
639958944,12/9/2016,15:00:00,12/9/2016,17:05:00,12/9/2016,109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,SOUNDVIEW,1020891,236726,40.81636615,-73.86762631,"(40.816366145, -73.867626311)"
754401855,12/8/2016,11:00:00,12/8/2016,12:00:00,12/8/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1025622,237609,40.81876884,-73.85052893,"(40.818768839, -73.850528931)"
130134957,12/6/2016,19:00:00,12/6/2016,20:00:00,12/7/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1025622,237609,40.81876884,-73.85052893,"(40.818768839, -73.850528931)"
268705672,11/30/2016,7:00:00,12/6/2016,0:00:00,12/7/2016,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1026268,237961,40.81973193,-73.8481928,"(40.81973193, -73.848192804)"
428275671,12/4/2016,12:15:00,12/4/2016,12:30:00,12/4/2016,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1026382,237309,40.81794183,-73.84778502,"(40.817941833, -73.847785022)"
178833363,12/2/2016,17:30:00,12/2/2016,18:00:00,12/2/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. HOUSING POLICE,BRONX,43,REAR OF,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1025580,236918,40.81687244,-73.85068493,"(40.816872438, -73.850684927)"
756498490,11/30/2016,18:00:00,11/30/2016,18:05:00,11/30/2016,105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,42,INSIDE,RESIDENCE - PUBLIC HOUSING,,MORRISANIA,1010158,242490,40.83222468,-73.90637977,"(40.832224679, -73.906379774)"
875795823,11/18/2016,12:30:00,,,11/29/2016,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,42,INSIDE,RESIDENCE - PUBLIC HOUSING,,MORRISANIA ,1007424,239937,40.82522502,-73.91626822,"(40.825225023, -73.916268224)"
194971029,11/18/2016,17:10:00,11/22/2016,19:00:00,11/24/2016,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,OPPOSITE OF,RESIDENCE - PUBLIC HOUSING,,BRONXDALE,1021623,240919,40.82787167,-73.86495842,"(40.827871665, -73.864958422)"
816060797,10/29/2016,17:00:00,,,11/16/2016,109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,FRONT OF,RESIDENCE - PUBLIC HOUSING,,BRONXDALE,1021111,240829,40.82762679,-73.86680897,"(40.827626793, -73.866808966)"
569382531,11/15/2016,16:28:00,,,11/15/2016,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,40,INSIDE,RESIDENCE - PUBLIC HOUSING,,MOTT HAVEN,1005426,235225,40.81229693,-73.92350234,"(40.812296927, -73.923502342)"
465056682,11/14/2016,14:55:00,11/14/2016,15:00:00,11/14/2016,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,REAR OF,RESIDENCE - PUBLIC HOUSING,,SOUNDVIEW,1021490,236442,40.81558414,-73.86546385,"(40.81558414, -73.865463846)"
