,HOOD,,,,,,,ADDR,CITY,ZIP,Latitude,Longitude,,,,,,PRICE,,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4970,5, ,A1, 4035 ROMBOUTS AVENUE                      ,NYC,10466,40.891598,-73.830378,"3,220","1,312",1925,1, A1 ,"$375,000 ",12/21/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4971,45, ,A1, 4026 ROMBOUTS AVE                         ,NYC,10466,40.8915719,-73.829794,"4,203","1,060",1930,1, A1 ,"$210,100 ",8/13/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4979,54, ,A5, 4079 GRACE AVE                            ,NYC,10466,40.891937,-73.845476,"2,494","1,260",1950,1, A5 ,"$100,000 ",3/31/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4980,80, ,A4, 4041 EDSON AVENUE                         ,NYC,10466,40.890795,-73.844101,"2,500","1,158",1920,1, A4 ,"$399,000 ",8/13/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4981,57, ,A5, 4075 BAYCHESTER AVENUE                    ,NYC,10466,40.892206,-73.843684,"1,350","1,782",1960,1, A5 ,"$323,850 ",3/5/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4983,38, ,A1, 4088 DE REIMER AVENUE                     ,NYC,10466,40.892611,-73.842326,"2,375","1,648",1950,1, A1 ,"$345,000 ",1/7/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4983,90, ,A1, 4019 WILDER AVENUE                        ,NYC,10466,40.891025,-73.841339,"3,555",928,1925,1, A1 ,"$395,000 ",10/1/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4984,96, ,A5, 2059 STRANG AVENUE                        ,NYC,10466,40.8906269,-73.8404889,"2,500","2,295",2014,1, A5 ,"$525,000 ",6/19/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,5134,41, ,A2, 2338 PALMER AVENUE                        ,NYC,10475,40.861989,-73.826238,"2,375","1,804",1934,1, A2 ,"$260,000 ",10/26/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,5134,64, ,A2, 2331 BOLLER AVENUE                        ,NYC,10475,40.862085,-73.825916,"2,961","1,653",1925,1, A2 ,"$211,000 ",6/16/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,5273,36, ,A2, 3 REEDS MILL LANE                         ,NYC,10475,40.884031,-73.830472,"5,049",414,1931,1, A2 ,"$228,775 ",8/11/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,5653,113, ,A2, 2581 HOLLERS AVENUE                       ,NYC,10475,40.888795,-73.817256,"5,525","1,120",1920,1, A2 ,"$350,000 ",12/28/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,5654,365, ,A2, 3432 MCOWEN AVENUE                        ,NYC,10475,40.8871665,-73.8177947,"5,000","2,258",1925,1, A2 ,"$490,000 ",12/29/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,5655,23, ,A5, 3554 MCOWEN AVENUE                        ,NYC,10475,40.889062,-73.8196619,"2,742","1,925",1965,1, A5 ,"$265,000 ",5/27/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,5655,62, ,A2, 3503 ROPES AVENUE                         ,NYC,10475,40.8882162,-73.8182202,"5,000","1,260",1950,1, A2 ,"$330,000 ",12/18/2015,
2,BEDFORD PARK/NORWOOD     ,01  ONE FAMILY DWELLINGS                    ,1,3288,18, ,A1, 2756 BAINBRIDGE AVENUE                    ,NYC,10458,40.866843,-73.889787,"2,970","1,588",1910,1, A1 ,"$372,500 ",11/12/2015,"$335,785 "
2,BEDFORD PARK/NORWOOD     ,01  ONE FAMILY DWELLINGS                    ,1,3294,73, ,A1, 2653 BAINBRIDGE AVENUE                    ,NYC,10458,40.8651632,-73.8920861,"1,892","2,022",1915,1, A1 ,"$187,000 ",10/9/2015,
2,BEDFORD PARK/NORWOOD     ,01  ONE FAMILY DWELLINGS                    ,1,3296,75, ,A5, 2864 BRIGGS AVENUE                        ,NYC,10458,40.8693682,-73.888267,"1,650","1,040",1901,1, A5 ,"$188,000 ",11/16/2015,
