KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,HOOD,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,SV,1020341,237429,40.81829795,-73.86960955,"(40.818297945, -73.869609545)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,BD,1021576,240437,40.82654891,-73.86513093,"(40.826548914, -73.865130932)"
105,ROBBERY,394,"ROBBERY,LICENSED FOR HIRE VEHICLE",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,49,FRONT OF,RESIDENCE - PUBLIC HOUSING,E ,1024464,256307,40.87009465,-73.85460052,"(40.870094652, -73.854600523)"
109,GRAND LARCENY,404,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,40,FRONT OF,RESIDENCE - PUBLIC HOUSING,J,1007292,238953,40.82252457,-73.91674855,"(40.822524568, -73.91674855)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,FRONT OF,RESIDENCE - PUBLIC HOUSING,CH ,1026382,237309,40.81794183,-73.84778502,"(40.817941833, -73.847785022)"
105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",ATTEMPTED,FELONY,N.Y. HOUSING POLICE,BRONX,40,INSIDE,RESIDENCE - PUBLIC HOUSING,MR,1006104,238459,40.8211717,-73.92104251,"(40.821171696, -73.921042512)"
109,GRAND LARCENY,402,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,CH ,1026596,236961,40.81698565,-73.84701407,"(40.816985648, -73.847014071)"
106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,44,INSIDE,RESIDENCE - PUBLIC HOUSING,CP ,1009143,242913,40.83338861,-73.91004603,"(40.833388611, -73.910046026)"
109,GRAND LARCENY,457,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,FRONT OF,RESIDENCE - PUBLIC HOUSING,BD,1022040,240165,40.82580038,-73.86345589,"(40.825800379, -73.86345589)"
109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,40,OPPOSITE OF,RESIDENCE - APT. HOUSE,SB ,1010482,234903,40.81139956,-73.90523862,"(40.811399561, -73.905238619)"
110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,FRONT OF,RESIDENCE - PUBLIC HOUSING,BR ,1017824,243494,40.83495455,-73.87867277,"(40.834954553, -73.878672765)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,CH,1026596,236961,40.81698565,-73.84701407,"(40.816985648, -73.847014071)"
106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,BD,1022040,240165,40.82580038,-73.86345589,"(40.825800379, -73.86345589)"
109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,CH ,1026596,236961,40.81698565,-73.84701407,"(40.816985648, -73.847014071)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,49,INSIDE,RESIDENCE - PUBLIC HOUSING,E ,1025376,256698,40.87116362,-73.85130063,"(40.871163624, -73.851300629)"
105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,45,INSIDE,RESIDENCE - PUBLIC HOUSING,TN ,1033283,237655,40.8188559,-73.82285031,"(40.818855896, -73.822850307)"
109,GRAND LARCENY,404,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,40,FRONT OF,RESIDENCE - PUBLIC HOUSING,MR,1006895,237886,40.81959698,-73.91818655,"(40.819596981, -73.918186548)"
